[2025-10-12 | 10:07:29] {jeet} ('127.0.0.1', 50543) :- joined the room
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:02] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:02] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:03] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:17] {jeet} ('127.0.0.1', 50543) :- sent: python client.py --key shared.key --host 127.0.0.1 --port 65432
[2025-10-12 | 10:08:21] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:21] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:21] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:22] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:22] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:22] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:08:23] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:29] {jeet} ('127.0.0.1', 50543) :- sent: dd
[2025-10-12 | 10:08:29] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:29] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:29] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:30] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:35] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:36] {jeet} ('127.0.0.1', 50543) :- sent: ds
[2025-10-12 | 10:08:36] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:36] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:44] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:08:44] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:44] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:08:44] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:44] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:08:47] {jeet} ('127.0.0.1', 50543) :- sent: dsd
[2025-10-12 | 10:08:48] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:08:48] {jeet} ('127.0.0.1', 50543) :- sent: ds
[2025-10-12 | 10:08:48] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 10:08:55] {jeet} ('127.0.0.1', 50543) :- client exited
