[2025-10-12 | 09:55:41] {User2} ('127.0.0.1', 49819) :- joined the room
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:41] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:43] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:43] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:00] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:00] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:01] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:02] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:57:02] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:02] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:02] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:02] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: dd
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:03] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:04] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:32] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:32] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:32] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:32] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:33] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:33] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:33] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:33] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:33] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:34] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:35] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:36] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:36] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:36] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:36] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:37] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:37] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:37] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:37] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:39] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:40] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:41] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:57:42] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:43] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:43] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:43] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:43] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:57:43] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:57:50] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:51] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:51] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:52] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:52] {User2} ('127.0.0.1', 49819) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:57:53] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:57:53] {User2} ('127.0.0.1', 49819) :- sent: ;
[2025-10-12 | 09:57:53] {User2} ('127.0.0.1', 49819) :- sent: ;
[2025-10-12 | 09:57:53] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:57:54] {User2} ('127.0.0.1', 49819) :- sent: ;
[2025-10-12 | 09:57:54] {User2} ('127.0.0.1', 49819) :- sent: ;
[2025-10-12 | 09:57:54] {User2} ('127.0.0.1', 49819) :- sent: ;
