[2025-10-11 | 02:51:44] {client} ('127.0.0.1', 62495) :- joined the room
[2025-10-11 | 03:18:22] {jeet} ('127.0.0.1', 64711) :- jexx: ha

[2025-10-11 | 03:18:25] {jeet} ('127.0.0.1', 64711) :- Guest: gadha
[2025-10-11 | 03:18:25] {jexx} ('127.0.0.1', 64707) :- Guest: gadha
[2025-10-11 | 03:18:27] {jexx} ('127.0.0.1', 64707) :- jeet: lol

[2025-10-11 | 03:24:28] {j1} ('127.0.0.1', 65292) :- joined the room
[2025-10-11 | 03:24:30] {j2} ('127.0.0.1', 65293) :- joined the room
[2025-10-11 | 03:24:30] {j1} ('127.0.0.1', 65292) :- j2 joined the room.
[2025-10-11 | 03:24:30] {j2} ('127.0.0.1', 65293) :- j1 joined the room.
[2025-10-11 | 03:24:32] {j2} ('127.0.0.1', 65293) :- j3 joined the room.
[2025-10-11 | 03:24:32] {j3} ('127.0.0.1', 65294) :- j1 joined the room.
[2025-10-11 | 03:24:32] {j3} ('127.0.0.1', 65294) :- j2 joined the room.
[2025-10-11 | 03:24:35] {j4} ('127.0.0.1', 65298) :- joined the room
m.
[2025-10-11 | 03:24:35] {j4} ('127.0.0.1', 65298) :- j1 joined the room.
[2025-10-11 | 03:24:35] {j4} ('127.0.0.1', 65298) :- j2 joined the room.
[2025-10-11 | 03:24:35] {j4} ('127.0.0.1', 65298) :- j3 joined the room.
[2025-10-11 | 03:24:41] {j4} ('127.0.0.1', 65298) :- j1: hi
[2025-10-11 | 03:24:44] {j1} ('127.0.0.1', 65292) :- j2: hello
[2025-10-11 | 03:24:46] {j2} ('127.0.0.1', 65293) :- j3: jai
[2025-10-11 | 03:24:50] {j2} ('127.0.0.1', 65293) :- j4: ambe
[2025-10-11 | 03:25:05] {j2} ('127.0.0.1', 65293) :- j4: heelo
[2025-10-11 | 03:25:05] {j1} ('127.0.0.1', 65292) :- j4: heelo
[2025-10-11 | 03:25:08] {j4} ('127.0.0.1', 65298) :- j1: ji
[2025-10-11 | 03:25:11] {j3} ('127.0.0.1', 65294) :- j2: ha
[2025-10-11 | 03:25:11] {j4} ('127.0.0.1', 65298) :- j2: ha
[2025-10-11 | 03:27:44] {jeet} ('127.0.0.1', 65493) :- joined the room
[2025-10-11 | 03:28:17] {ki} ('127.0.0.1', 65525) :- joined the room
oom.
[2025-10-11 | 03:28:24] {jeet} ('127.0.0.1', 65493) :- ki: hi
[2025-10-11 | 03:28:27] {jeet} ('127.0.0.1', 65493) :- ki: hello
[2025-10-11 | 03:28:45] {ki} ('127.0.0.1', 65525) :- jeet: hi
[2025-10-11 | 03:28:48] {jeet} ('127.0.0.1', 65493) :- ki: hisadas
[2025-10-11 | 03:38:07] {jeet} ('127.0.0.1', 50350) :- joined the room
[2025-10-11 | 03:38:09] {jex} ('127.0.0.1', 50352) :- joined the room
[2025-10-11 | 03:38:09] {jeet} ('127.0.0.1', 50350) :- jex joined the room.
[2025-10-11 | 03:38:09] {jex} ('127.0.0.1', 50352) :- jeet joined the room.
[2025-10-11 | 03:38:12] {jeet} ('127.0.0.1', 50350) :- jex: hi
[2025-10-11 | 03:38:14] {jex} ('127.0.0.1', 50352) :- jeet: hello
[2025-10-11 | 03:38:16] {jex} ('127.0.0.1', 50352) :- jeet: hi
[2025-10-11 | 03:38:19] {jeet} ('127.0.0.1', 50350) :- jex: jex
[2025-10-11 | 03:38:34] {jex} ('127.0.0.1', 50352) :- jeet: hihhi
[2025-10-11 | 03:38:36] {jeet} ('127.0.0.1', 50350) :- jex: hih
[2025-10-11 | 08:28:33] {jeet} ('127.0.0.1', 62857) :- joined the room
[2025-10-11 | 08:28:37] {jex} ('127.0.0.1', 62858) :- joined the room
[2025-10-11 | 08:35:20] {jex} ('127.0.0.1', 63821) :- joined the room
[2025-10-11 | 08:35:23] {jex2} ('127.0.0.1', 63827) :- joined the room
[2025-10-11 | 08:35:23] {jex} ('127.0.0.1', 63821) :- jex2 joined the room.
[2025-10-11 | 08:35:27] {jex2} ('127.0.0.1', 63827) :- jex: hi
[2025-10-11 | 08:35:30] {jex} ('127.0.0.1', 63821) :- jex2: hello
[2025-10-11 | 08:35:35] {jex2} ('127.0.0.1', 63827) :- jex: jai
[2025-10-11 | 08:35:39] {jex} ('127.0.0.1', 63821) :- jex2: ambe
[2025-10-11 | 08:39:58] {jex} ('127.0.0.1', 64090) :- joined the room
[2025-10-11 | 08:40:01] {jex2} ('127.0.0.1', 64095) :- joined the room
[2025-10-11 | 08:40:01] {jex} ('127.0.0.1', 64090) :- jex2 joined the room.
[2025-10-11 | 08:40:01] {jex2} ('127.0.0.1', 64095) :- jex joined the room.
[2025-10-11 | 08:40:05] {jex2} ('127.0.0.1', 64095) :- jex: hi
[2025-10-11 | 08:40:06] {jex2} ('127.0.0.1', 64095) :- jex: jai
[2025-10-11 | 08:40:10] {jex} ('127.0.0.1', 64090) :- jex2: hello
[2025-10-11 | 08:40:11] {jex} ('127.0.0.1', 64090) :- jex2: ambae
[2025-10-11 | 08:40:16] {jex2} ('127.0.0.1', 64095) :- jex: hi
[2025-10-11 | 08:40:19] {jex2} ('127.0.0.1', 64095) :- jex: kkem cho
[2025-10-11 | 08:40:24] {jex} ('127.0.0.1', 64090) :- jex2: majama
[2025-10-11 | 08:40:38] {jex} ('127.0.0.1', 64090) :- jex2 disconnected.
[2025-10-11 | 08:40:54] {jex} ('127.0.0.1', 64090) :- jex2 joined the room.
[2025-10-11 | 08:40:57] {jex} ('127.0.0.1', 64090) :- jex2: hello
[2025-10-11 | 08:41:01] {jex} ('127.0.0.1', 64090) :- jex2: hi kem cho
[2025-10-11 | 08:41:03] {jex} ('127.0.0.1', 64090) :- jex2: bhao
[2025-10-11 | 08:41:09] {jex} ('127.0.0.1', 64090) :- jex2: hala
[2025-10-11 | 08:41:12] {jex} ('127.0.0.1', 64090) :- jex2: kai tai
[2025-10-11 | 08:41:16] {jex2} ('127.0.0.1', 64134) :- jex: eit
[2025-10-11 | 08:41:17] {jex2} ('127.0.0.1', 64134) :- jex: exit
[2025-10-11 | 08:41:21] {jex2} ('127.0.0.1', 64134) :- jex: /exit
[2025-10-11 | 08:41:27] {jex} ('127.0.0.1', 64090) :- jex2: \exit
[2025-10-11 | 08:41:35] {jex2} ('127.0.0.1', 64134) :- jex disconnected.
[2025-10-11 | 08:45:54] {jeet} ('127.0.0.1', 64716) :- joined the room
[2025-10-11 | 08:45:57] {jeet} ('127.0.0.1', 64716) :- jex joined the room.
[2025-10-11 | 08:45:57] {jex} ('127.0.0.1', 64718) :- joined the room
[2025-10-11 | 08:45:57] {jex} ('127.0.0.1', 64718) :- jeet joined the room.
[2025-10-11 | 08:46:01] {jex} ('127.0.0.1', 64718) :- jeet: hi
[2025-10-11 | 08:46:26] {jex} ('127.0.0.1', 64718) :- jeet: heello
[2025-10-11 | 08:46:31] {jeet} ('127.0.0.1', 64716) :- jex: hi
[2025-10-11 | 08:46:35] {jeet} ('127.0.0.1', 64716) :- jex: hello
[2025-10-11 | 08:46:50] {jex} ('127.0.0.1', 64718) :- jeet: hi
[2025-10-11 | 08:46:53] {jeet} ('127.0.0.1', 64716) :- jex: hello
[2025-10-11 | 08:46:57] {jex} ('127.0.0.1', 64718) :- jeet: jkem
[2025-10-11 | 08:47:01] {jeet} ('127.0.0.1', 64716) :- jex: majama
[2025-10-11 | 08:47:10] {jex} ('127.0.0.1', 64718) :- jeet: jkj
[2025-10-11 | 08:47:10] {jex} ('127.0.0.1', 64718) :- jeet: k
[2025-10-11 | 08:47:10] {jex} ('127.0.0.1', 64718) :- jeet: j
[2025-10-11 | 08:47:10] {jex} ('127.0.0.1', 64718) :- jeet: kj
[2025-10-11 | 08:47:10] {jex} ('127.0.0.1', 64718) :- jeet: k
[2025-10-11 | 08:47:11] {jex} ('127.0.0.1', 64718) :- jeet: jk
[2025-10-11 | 08:47:11] {jex} ('127.0.0.1', 64718) :- jeet: jk
[2025-10-11 | 08:47:11] {jex} ('127.0.0.1', 64718) :- jeet: j
[2025-10-11 | 08:47:11] {jex} ('127.0.0.1', 64718) :- jeet: kjk
[2025-10-11 | 08:47:12] {jex} ('127.0.0.1', 64718) :- jeet: jk
[2025-10-11 | 08:47:12] {jex} ('127.0.0.1', 64718) :- jeet: j
[2025-10-11 | 08:47:12] {jex} ('127.0.0.1', 64718) :- jeet: kj
[2025-10-11 | 08:47:12] {jex} ('127.0.0.1', 64718) :- jeet: k
[2025-10-11 | 08:47:12] {jex} ('127.0.0.1', 64718) :- jeet: j
[2025-10-11 | 08:47:13] {jex} ('127.0.0.1', 64718) :- jeet: kj
[2025-10-11 | 08:47:13] {jex} ('127.0.0.1', 64718) :- jeet: k
[2025-10-11 | 08:47:13] {jex} ('127.0.0.1', 64718) :- jeet: j
[2025-10-11 | 08:47:13] {jex} ('127.0.0.1', 64718) :- jeet: kj
[2025-10-11 | 08:47:13] {jex} ('127.0.0.1', 64718) :- jeet: k
[2025-10-11 | 08:47:14] {jex} ('127.0.0.1', 64718) :- jeet: jk
[2025-10-11 | 08:47:26] {jex} ('127.0.0.1', 64718) :- jeet: jkfg
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: f
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: g
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: f
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: g
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: f
[2025-10-11 | 08:47:27] {jex} ('127.0.0.1', 64718) :- jeet: gf
[2025-10-11 | 08:47:28] {jex} ('127.0.0.1', 64718) :- jeet: g
[2025-10-11 | 09:03:42] {jeet} ('127.0.0.1', 50097) :- joined the room
[2025-10-11 | 09:03:44] {jex} ('127.0.0.1', 50099) :- joined the room
oom.
[2025-10-11 | 09:03:44] {jex} ('127.0.0.1', 50099) :- jeet joined the room.
[2025-10-11 | 09:03:51] {jex} ('127.0.0.1', 50099) :- jeet: hi
[2025-10-11 | 09:03:54] {jeet} ('127.0.0.1', 50097) :- jex: jeet
[2025-10-11 | 09:03:57] {jex} ('127.0.0.1', 50099) :- jeet: hello
[2025-10-11 | 09:04:01] {jeet} ('127.0.0.1', 50097) :- jex: python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:04] {jex} ('127.0.0.1', 50099) :- jeet: python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:05] {jeet} ('127.0.0.1', 50097) :- jex: python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:07] {jex} ('127.0.0.1', 50099) :- jeet: python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:10] {jex} ('127.0.0.1', 50099) :- jeet: helo
[2025-10-11 | 09:04:13] {jeet} ('127.0.0.1', 50097) :- jex: hello
[2025-10-11 | 09:04:16] {jeet} ('127.0.0.1', 50097) :- jex: eit
[2025-10-11 | 09:04:20] {jeet} ('127.0.0.1', 50097) :- jex: /help
[2025-10-11 | 09:04:25] {jeet} ('127.0.0.1', 50097) :- jex: \help
[2025-10-11 | 09:04:38] {jeet} ('127.0.0.1', 50097) :- jex disconnected.
[2025-10-11 | 09:05:00] {jai} ('127.0.0.1', 50171) :- joined the room
[2025-10-11 | 09:05:03] {amba} ('127.0.0.1', 50172) :- joined the room
om.
[2025-10-11 | 09:05:03] {amba} ('127.0.0.1', 50172) :- jai joined the room.
[2025-10-11 | 09:05:05] {lal} ('127.0.0.1', 50177) :- joined the room
om.
[2025-10-11 | 09:05:05] {amba} ('127.0.0.1', 50172) :- lal joined the room.
[2025-10-11 | 09:05:05] {lal} ('127.0.0.1', 50177) :- jai joined the room.
[2025-10-11 | 09:05:05] {lal} ('127.0.0.1', 50177) :- amba joined the room.
[2025-10-11 | 09:05:09] {jai} ('127.0.0.1', 50171) :- lal: hi

[2025-10-11 | 09:05:12] {amba} ('127.0.0.1', 50172) :- jai: i
[2025-10-11 | 09:05:15] {lal} ('127.0.0.1', 50177) :- amba: hell
[2025-10-11 | 09:05:19] {lal} ('127.0.0.1', 50177) :- jai disconnected.

[2025-10-11 | 09:05:19] {lal} ('127.0.0.1', 50177) :- amba disconnected.
[2025-10-11 | 09:05:34] {hello} ('127.0.0.1', 50204) :- joined the room
[2025-10-11 | 09:15:10] {jex} ('127.0.0.1', 50687) :- joined the room
[2025-10-11 | 09:15:17] {jeet} ('127.0.0.1', 50674) :- joined the room
om.
[2025-10-11 | 09:15:17] {jeet} ('127.0.0.1', 50674) :- jex joined the room.
[2025-10-11 | 09:15:17] {jeet} ('127.0.0.1', 50674) :- jex: hi
[2025-10-11 | 09:15:17] {jeet} ('127.0.0.1', 50674) :- jex: hi
[2025-10-11 | 09:15:18] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:20] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:23] {jeet} ('127.0.0.1', 50674) :- jex: hih
[2025-10-11 | 09:15:24] {jeet} ('127.0.0.1', 50674) :- jex: h
[2025-10-11 | 09:15:25] {jeet} ('127.0.0.1', 50674) :- jex: hhhihih
[2025-10-11 | 09:15:25] {jeet} ('127.0.0.1', 50674) :- jex: ih
[2025-10-11 | 09:15:25] {jeet} ('127.0.0.1', 50674) :- jex: i
[2025-10-11 | 09:15:25] {jeet} ('127.0.0.1', 50674) :- jex: hih
[2025-10-11 | 09:15:26] {jeet} ('127.0.0.1', 50674) :- jex: ih
[2025-10-11 | 09:15:26] {jeet} ('127.0.0.1', 50674) :- jex: ih
[2025-10-11 | 09:15:26] {jeet} ('127.0.0.1', 50674) :- jex: ihih
[2025-10-11 | 09:15:26] {jeet} ('127.0.0.1', 50674) :- jex: ihi
[2025-10-11 | 09:15:27] {jeet} ('127.0.0.1', 50674) :- jex: h
[2025-10-11 | 09:15:27] {jeet} ('127.0.0.1', 50674) :- jex: ihih
[2025-10-11 | 09:15:27] {jeet} ('127.0.0.1', 50674) :- jex: hi
[2025-10-11 | 09:15:27] {jeet} ('127.0.0.1', 50674) :- jex: hi
[2025-10-11 | 09:15:28] {jeet} ('127.0.0.1', 50674) :- jex: ih
[2025-10-11 | 09:15:31] {jex} ('127.0.0.1', 50687) :- jeet: hhihi
[2025-10-11 | 09:15:31] {jex} ('127.0.0.1', 50687) :- jeet: hihih
[2025-10-11 | 09:15:31] {jex} ('127.0.0.1', 50687) :- jeet: ih
[2025-10-11 | 09:15:32] {jex} ('127.0.0.1', 50687) :- jeet: ih
[2025-10-11 | 09:15:32] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:32] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:32] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:33] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:33] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:33] {jex} ('127.0.0.1', 50687) :- jeet: hi
[2025-10-11 | 09:15:33] {jex} ('127.0.0.1', 50687) :- jeet: ih
[2025-10-11 | 09:15:33] {jex} ('127.0.0.1', 50687) :- jeet: ih
[2025-10-11 | 09:15:34] {jex} ('127.0.0.1', 50687) :- jeet: ihi
[2025-10-11 | 09:15:34] {jex} ('127.0.0.1', 50687) :- jeet: hih
[2025-10-11 | 09:15:34] {jex} ('127.0.0.1', 50687) :- jeet: h
[2025-10-11 | 09:15:34] {jex} ('127.0.0.1', 50687) :- jeet: h
[2025-10-11 | 09:15:35] {jex} ('127.0.0.1', 50687) :- jeet: ihih
[2025-10-11 | 09:15:37] {jex} ('127.0.0.1', 50687) :- jeet: hihi
[2025-10-11 | 09:15:48] {jeex4} ('127.0.0.1', 50706) :- joined the room
om.

[2025-10-11 | 09:15:51] {jeet} ('127.0.0.1', 50674) :- jeex4: hi'
[2025-10-11 | 09:15:53] {jeet} ('127.0.0.1', 50674) :- jeex4: hi'
[2025-10-11 | 09:15:54] {jeet} ('127.0.0.1', 50674) :- jeex4: skka
[2025-10-11 | 09:15:55] {jex} ('127.0.0.1', 50687) :- jeex4: daks

[2025-10-11 | 09:15:55] {jex} ('127.0.0.1', 50687) :- jeex4: kda
[2025-10-11 | 09:15:55] {jeet} ('127.0.0.1', 50674) :- jeex4: kda
[2025-10-11 | 09:15:55] {jex} ('127.0.0.1', 50687) :- jeex4: dak

[2025-10-11 | 09:15:56] {jex} ('127.0.0.1', 50687) :- jeex4: sdka

[2025-10-11 | 09:15:56] {jeet} ('127.0.0.1', 50674) :- jeex4: skd
[2025-10-11 | 09:15:56] {jeet} ('127.0.0.1', 50674) :- jeex4: ak
[2025-10-11 | 09:15:56] {jex} ('127.0.0.1', 50687) :- jeex4: ak
[2025-10-11 | 09:15:56] {jex} ('127.0.0.1', 50687) :- jeex4: sd

[2025-10-11 | 09:15:56] {jex} ('127.0.0.1', 50687) :- jeex4: aks

[2025-10-11 | 09:15:57] {jex} ('127.0.0.1', 50687) :- jeex4: dk

[2025-10-11 | 09:15:57] {jeet} ('127.0.0.1', 50674) :- jeex4: aks
[2025-10-11 | 09:16:16] {jex} ('127.0.0.1', 50687) :- jeex4 disconnected.
[2025-10-11 | 09:16:16] {jeet} ('127.0.0.1', 50674) :- jeex4 disconnected.
[2025-10-11 | 09:51:08] {jeet} ('127.0.0.1', 50625) :- joined the room
[2025-10-11 | 09:51:11] {jeet} ('127.0.0.1', 50625) :- ('127.0.0.1', 50627) joined the room.
[2025-10-11 | 09:51:11] {jeet} ('127.0.0.1', 50625) :- ('127.0.0.1', 50627): jet
[2025-10-11 | 09:51:11] {jet} ('127.0.0.1', 50627) :- joined the room
[2025-10-11 | 09:51:11] {jet} ('127.0.0.1', 50627) :- jeet joined the room.
[2025-10-11 | 09:51:16] {jeet} ('127.0.0.1', 50625) :- ('127.0.0.1', 50627) disconnected.
[2025-10-11 | 09:51:29] {jeet} ('127.0.0.1', 50636) :- joined the room
[2025-10-11 | 09:51:29] {jeet} ('127.0.0.1', 50625) :- jeet joined the room.
[2025-10-11 | 09:51:31] {jeet} ('127.0.0.1', 50625) :- jeet: hi
[2025-10-11 | 09:51:33] {jeet} ('127.0.0.1', 50636) :- jeet: hi
[2025-10-11 | 09:51:36] {jeet} ('127.0.0.1', 50625) :- jeet: jeet
[2025-10-11 | 09:51:50] {jeet} ('127.0.0.1', 50636) :- jeet: hi
[2025-10-11 | 09:51:55] {jeet} ('127.0.0.1', 50636) :- jeet: jeet
[2025-10-11 | 09:51:58] {jeet} ('127.0.0.1', 50625) :- jeet disconnected.
[2025-10-11 | 10:06:40] {Guest} ('127.0.0.1', 51238) :- joined the room
[2025-10-11 | 10:06:43] {Guest} ('127.0.0.1', 51238) :- received: Guest joined the room.
[2025-10-11 | 10:06:43] {Guest} ('127.0.0.1', 51237) :- received: Guest joined the room.
[2025-10-11 | 10:06:46] {Guest} ('127.0.0.1', 51237) :- received: ('127.0.0.1', 51240) joined the room.
[2025-10-11 | 10:06:46] {Guest} ('127.0.0.1', 51238) :- sent: hi
[2025-10-11 | 10:06:46] {Guest} ('127.0.0.1', 51237) :- received: Guest: hi
[2025-10-11 | 10:06:51] {jeet} ('127.0.0.1', 51240) :- joined the room
[2025-10-11 | 10:06:51] {Guest} ('127.0.0.1', 51237) :- received: ('127.0.0.1', 51240): jeet
[2025-10-11 | 10:06:51] {jeet} ('127.0.0.1', 51240) :- received: Guest joined the room.
[2025-10-11 | 10:06:51] {jeet} ('127.0.0.1', 51240) :- received: Guest: hi
[2025-10-11 | 10:06:52] {jeet} ('127.0.0.1', 51240) :- sent: ji
[2025-10-11 | 10:06:52] {Guest} ('127.0.0.1', 51237) :- received: ('127.0.0.1', 51240): ji
[2025-10-11 | 10:06:55] {jeet} ('127.0.0.1', 51240) :- sent: hi
[2025-10-11 | 10:06:55] {Guest} ('127.0.0.1', 51238) :- received: ('127.0.0.1', 51240): hi
[2025-10-11 | 10:06:56] {jeet} ('127.0.0.1', 51240) :- sent: hi
[2025-10-11 | 10:06:56] {Guest} ('127.0.0.1', 51237) :- received: ('127.0.0.1', 51240): hi
[2025-10-11 | 10:06:56] {Guest} ('127.0.0.1', 51238) :- received: ('127.0.0.1', 51240): hi
[2025-10-11 | 10:06:59] {Guest} ('127.0.0.1', 51237) :- sent: hi
[2025-10-11 | 10:06:59] {jeet} ('127.0.0.1', 51240) :- received: Guest: hi

[2025-10-11 | 10:07:01] {Guest} ('127.0.0.1', 51238) :- sent: hi
[2025-10-11 | 10:07:01] {Guest} ('127.0.0.1', 51237) :- received: Guest: hi
[2025-10-11 | 10:07:04] {Guest} ('127.0.0.1', 51238) :- sent: ji
[2025-10-11 | 10:07:04] {Guest} ('127.0.0.1', 51237) :- received: Guest: ji
[2025-10-11 | 10:07:08] {Guest} ('127.0.0.1', 51238) :- sent: hi
[2025-10-11 | 10:07:08] {Guest} ('127.0.0.1', 51237) :- received: Guest: hi
[2025-10-11 | 10:07:10] {Guest} ('127.0.0.1', 51237) :- sent: hi
[2025-10-11 | 10:07:10] {Guest} ('127.0.0.1', 51238) :- received: Guest: hi
[2025-10-11 | 10:07:24] {jeet} ('127.0.0.1', 51259) :- joined the room
oined the room.
[2025-10-11 | 10:07:26] {jeet} ('127.0.0.1', 51259) :- sent: ji
[2025-10-11 | 10:07:26] {Guest} ('127.0.0.1', 51237) :- received: jeet: ji
